Filename,Title,Description,Keywords,License
meulindo_An_open_laptop_on_a_desk_surrounded_by_various_pens__55083df6-b7f5-44b1-8596-40ded2d4fc20_0,Digital Workstation Laptop Pens Notepads in Medium Closeup Shot,,"Laptop, Desk, Pens, Pencils, Notepads, Medium closeup shot, 50mm lens, Focus, Screen",Free
meulindo_An_open_laptop_on_a_desk_surrounded_by_various_pens__55083df6-b7f5-44b1-8596-40ded2d4fc20_1,Productive Workspace Open Laptop Surrounded by Notepads Pens and Pencils Medium Closeup with Focused Laptop Screen,,"Open laptop, Desk, Pens, Pencils, Notepads, Medium closeup shot, 50mm lens, Focus, Laptop screen",Free
meulindo_An_open_laptop_on_a_desk_surrounded_by_various_pens__55083df6-b7f5-44b1-8596-40ded2d4fc20_2,Laptop Pens Notepads Workstation Captured in Medium Closeup with Focused Screen,,"Open laptop, Desk, Pens, Pencils, Notepads, Medium closeup shot, 50mm lens, Laptop screen, Technology, Workspace, Productivity, Writing, Working, Office, Organization, Creativity, Stationery, Digital, Focus, Communication, Study, Equipment, Tools, Writing utensils, Work, Desktop, Keyboard, Screen, Stationary, Digital device, Productive, Business, Online, Typing, Academic, Education, Keyboard, Paper, Digital workspace, Learning, Concentration, Productivity tools",Free
meulindo_An_open_laptop_on_a_desk_surrounded_by_various_pens__55083df6-b7f5-44b1-8596-40ded2d4fc20_3,Desk Setup Laptop Notepads and Pens Surround the Screen in Medium Closeup Shot,,"Laptop, Desk, Pens, Pencils, Notepads, Open, Medium closeup, 50mm lens, Focus, Screen",Free
meulindo_An_overhead_shot_of_a_designers_desk_featuring_a_lap_aa0078c7-e48f-42e5-95a1-aa1e288057e2_1,Designers Desk Laptop Tablet and Graphic Tools in Warm Natural Light,,"Designer desk, Laptop, Tablet, Graphic design tools, Workspace, Overhead shot, Cluttered, Natural light, Warm tones",Free
meulindo_An_overhead_shot_of_a_designers_desk_featuring_a_lap_aa0078c7-e48f-42e5-95a1-aa1e288057e2_3,Designers Desk Laptop Tablet Graphic Tools in Warm Natural Light Wide Shot Embraces Cluttered Creative Workspace,,"Designer, Desk, Laptop, Tablet, Graphic design tools, Workspace, Cluttered, Overhead shot, Wide shot, Natural light, Warm tones",Free
meulindo_An_overhead_shot_of_a_designers_desk_with_a_computer_2d69b712-364c-4a2e-b071-d67931809f25_0,Designers Desk Organization and Creativity Captured in Overhead and Medium Shots,,"Designers desk, Computer monitor, Graphic tablet, Notepads, Art supplies, Neatly arranged, Medium shot, Overhead shot, 50mm lens, Focusing, Center, Desk organization, Creative workspace, Artist tools, Inspiration, Workspace arrangement, Graphic design, Digital art, Organization, Creativity, Productivity, Design tools, Workstation, Desktop, Orderly, Equipment, Technology, Work tools, Professional, Efficiency, Precision, Artistic, Work environment, Office setup, Art materials, Crafting supplies, Visual art, Digital workspace, Design workflow, Studio setup",Free
meulindo_An_overhead_shot_of_a_designers_desk_with_a_computer_2d69b712-364c-4a2e-b071-d67931809f25_1,Designers Desk Captured in Overhead and Medium Shot Showcasing Computer Tablet Notepads and Art Supplies,,"Designers desk, Computer monitor, Graphic tablet, Notepads, Art supplies, Neatly arranged, Overhead shot, Medium shot, 50mm lens, Focusing, Center of the frame",Free
meulindo_An_overhead_shot_of_a_designers_desk_with_a_computer_2d69b712-364c-4a2e-b071-d67931809f25_2,Designers Desk Organized Chaos Captured in Overhead and Medium Shot,,"Designers desk, Computer monitor, Graphic tablet, Notepads, Art supplies, Neatly arranged, Medium shot, 50mm lens, Overhead shot, Center of the frame, Workspace, Creativity, Organization, Technology, Design, Inspiration, Productivity, Order, Efficiency, Tools, Equipment, Office, Workstation, Creative, Digital, Work, Desk setup, Workspace organization, Design tools, Artistic, Professional, Digital artist, Drawing, Planning, Arrangement, Style, Composition, Precision, Artistic supplies, Design software",Free
meulindo_An_overhead_shot_of_a_designers_desk_with_a_computer_2d69b712-364c-4a2e-b071-d67931809f25_3,Designers Desk Overhead View of Neatly Arranged Tools and Supplies Centered Medium Shot with 50mm Lens,,"Designer's desk, Graphic tablet, Art supplies, Computer monitor, Notepads, Neatly arranged, Overhead shot, Medium shot, 50mm lens, Focusing, Center frame",Free
